Магазин,Координаты,Время покупки,Категории,Бренды,Номер карточки,Количество товаров,Стоимость покупок
Дикси,"(59.9235062,30.2915225)",2023-03-04 13:32:59.739708,"{'Хлебобулочные', 'Сладости', 'Детские товары', 'Кофе', 'Молочные продукты', 'Рыба и морепродукты', 'Вино', 'Напитки', 'Соусы и специи', 'Сметана', 'Мыло', 'Колбаса', 'Пиво'}","{'Балтийский берег', 'Простоквашино', 'Heinz', 'Брест-Литовск', 'Хаггис', 'Pampers', 'Rich', 'Дымов', 'Каберне', 'Санта Бремор', 'Славянка', 'Невская косметика', 'Аленка', 'Nescafe', 'Жигулевское'}",2200 9608 7564 6807,15,4024
Красное&Белое,"(59.9314066,30.2948311)",2023-06-04 12:37:15.245489,"{'Ликер', 'Бренди', 'Портвейн', 'Вермуты', 'Эль', 'Вино', 'Текила', 'Водка', 'Пиво'}","{'Белуга', 'Царская', 'Финляндия', 'Don Julio', 'Cinzano Bianco', 'Old Speckled Hen', ""Sheridan's"", 'Campari', 'Guinness', 'Noilly Prat', 'Балтика 7', 'Bass Pale Ale', 'Carpano', 'Stella Artois', ""Cockburn's"", 'Martini Rosso', 'Массандра', ""Fuller's"", 'Jose Cuervo', 'Vecchia Romagna'}",5469 5689 4710 2601,21,24430
DNS,"(59.929055,30.3472814)",2024-07-12 18:28:41.502393,"{'Планшет', 'Принтер', 'Процессор', 'Проектор', 'Колонки', 'Фотоаппарат', 'Мышь', 'Клавиатура', 'Телевизор', 'Ноутбук', 'Сканер'}","{'Philips', 'Microsoft', 'MSI', 'Canon', 'Intel', 'Nikon', 'Apple', 'BenQ', 'Lenovo', 'LG', 'Harman Kardon', 'Logitech', 'Olympus'}",2202 1892 6109 6773,17,359300
Винлаб,"(59.9013222,30.3112149)",2024-05-06 15:29:04.256071,"{'Ликер', 'Бренди', 'Вермуты', 'Эль', 'Шампанское', 'Ром', 'Пиво', 'Виски'}","{'Veuve Clicquot', 'Zacapa', 'Baileys', 'Leffe', 'Bosca', ""Jack Daniel's"", 'Stella Artois', 'Noilly Prat', 'Newcastle Brown Ale', 'Sailor Jerry', 'Vecchia Romagna', 'Martini Rosso', 'Johnnie Walker', 'Kilkenny', 'Malibu', 'Балтика 7'}",2200 5062 2771 3197,17,20660
Красное&Белое,"(59.923977,30.3107449)",2023-04-21 22:53:01.529851,"{'Ликер', 'Бренди', 'Портвейн', 'Вермуты', 'Коньяк', 'Вино', 'Шампанское', 'Ром', 'Сидр', 'Пиво', 'Виски'}","{'Инкерман', 'Шато Тамань', 'Havana Club', 'Pliska', ""Sheridan's"", 'Noilly Prat', 'The Macallan', 'Винодельня Фанагория', 'Carpano', 'Baileys', ""Dow's"", 'Torres', ""Cockburn's"", 'Martini Rosso', 'Malibu', 'Fizzy', 'Абрау-Дюрсо', 'Советское', 'Heineken', 'Sailor Jerry', 'Remy Martin'}",5469 5838 8818 1522,24,29570
Дикси,"(59.901603,30.312938)",2023-01-03 11:52:00.393042,"{'Хлебобулочные', 'Сладости', 'Корма для животных', 'Молочные продукты', 'Моющее средство', 'Консервы', 'Бакалея', 'Йогурт', 'Молоко', 'Соусы и специи', 'Сок', 'Полуфабрикаты', 'Овощи', 'Пиво', 'Кетчуп'}","{'Tide', 'Heinz', 'Persil', 'Фруктовый Сад', 'Коммунарка', 'Савушкин', 'Каравай', 'Зеленая линия', 'Домик в деревне', 'Активиа', 'Whiskas', 'Мираторг', 'Рузком', 'Махеев', 'Жигулевское'}",2202 7676 6437 3920,16,2215
Дикси,"(59.9263283,30.3470236)",2023-05-09 11:21:47.849294,"{'Кофе', 'Молочные продукты', 'Освежитель воздуха', 'Кондитерские изделия', 'Средство для мытья посуды', 'Хлебобулочные', 'Полуфабрикаты', 'Рис'}","{'Мистраль', 'Glade', 'Брест-Литовск', 'Рот-Фронт', 'AOS', 'Паляничка', 'Jacobs', 'Элика'}",2202 5582 4490 6586,8,1255
Дикси,"(59.9122946,30.2978337)",2024-01-06 10:15:52.648040,"{'Туалетная бумага', 'Косметика и уход', 'Сладости', 'Корма для животных', 'Мусорные пакеты', 'Консервы', 'Сыр', 'Батарейки', 'Соусы и специи', 'Рыба и морепродукты', 'Овощи', 'Фрукты'}","{'Рыбный остров', 'Duracell', 'Свой урожай', 'Paclan', 'Hochland', 'Zewa', 'Дары сада', 'Head & Shoulders', 'Русское море', 'Фермер', 'Whiskas', 'Аленка', 'Торчин', 'Агроферма'}",4277 7560 6188 2328,14,1949
Магнит,"(59.9124183,30.3483544)",2023-01-14 11:31:27.011821,"{'Туалетная бумага', 'Крупы', 'Сладости', 'Бытовая химия', 'Детские товары', 'Гель для душа', 'Корма для животных', 'Кофе и чай', 'Мусорные пакеты', 'Газировка', 'Бакалея', 'Средство для мытья посуды', 'Средство для стекол', 'Батарейки', 'Хлебобулочные', 'Полуфабрикаты', 'Овощи', 'Замороженные продукты'}","{'Fackelmann', 'Махеев', 'Fairy', 'Золотой Петушок', 'Pampers', 'Energizer', 'Мираторг', 'Kleenex', 'Ahmad', 'Юбилейное', 'Мистер Мускул', 'Хлебный Дом', 'Nivea', 'Агро-альянс', 'Clin', 'Coca-Cola', 'Purina', 'Pepsi', 'Whiskas', 'Агроферма'}",4279 6840 7220 3818,20,3168
Ароматный мир,"(59.9194836,30.3466228)",2023-02-26 18:53:53.724849,"{'Бренди', 'Коньяк', 'Эль', 'Шампанское', 'Ром', 'Водка', 'Пиво', 'Виски'}","{'Veuve Clicquot', 'Zacapa', 'Courvoisier', 'Old Speckled Hen', 'Jameson', 'Русский Стандарт', 'Vecchia Romagna', 'Балтика 7', 'Remy Martin'}",5469 3289 7322 4803,9,18810
Ароматный мир,"(59.9180564,30.2962661)",2024-06-18 20:44:23.568808,"{'Бренди', 'Джин', 'Вермуты', 'Вино', 'Шампанское', 'Водка', 'Сидр', 'Виски'}","{""Hendrick's"", 'Moet & Chandon', 'Cinzano Bianco', 'Царская', 'Chivas Regal', 'Noilly Prat', 'Инкерман', 'Vecchia Romagna', 'Johnnie Walker', 'Шато Тамань', 'Apple Fox', 'Martini Asti'}",5469 4049 7995 9222,12,17490
Live Beer,"(59.9227482,30.3303035)",2023-12-11 12:29:29.856983,"{'Ликер', 'Джин', 'Вермуты', 'Коньяк', 'Водка', 'Пиво'}","{'Белуга', 'Stella Artois', ""Sheridan's"", 'Martini Rosso', 'Tanqueray', 'Courvoisier'}",4277 4159 5155 1945,6,8010
Дикси,"(59.9265816,30.332206)",2023-04-20 19:31:59.697138,"{'Крупы', 'Бытовая химия', 'Средство для ванной', 'Корма для животных', 'Молочные продукты', 'Колбасные изделия', 'Хлебобулочные', 'Овощи', 'Консервы', 'Фрукты'}","{'Рыбный остров', 'Черкизово', 'Ariel', 'Каравай', 'Агро-Альянс', 'Bonduelle', 'Дары сада', 'Гудвил', 'Sanfor', 'Whiskas', 'Овощи России', 'Простоквашино'}",5469 4700 6558 4777,13,1565
Ароматный мир,"(59.9317256,30.2942401)",2024-03-09 11:26:10.162961,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Вино', 'Шампанское', 'Ром', 'Водка', 'Сидр', 'Пиво'}","{'Белуга', 'Metaxa', 'Инкерман', 'Шато Тамань', 'Amaretto', 'Havana Club', 'Old Speckled Hen', 'Amstel', 'Bass Pale Ale', 'Жигулевское', 'Moet & Chandon', 'Ararat', 'Martini Rosso', ""Hendrick's"", 'Fizzy', 'Абрау-Дюрсо', 'Bacardi', ""Graham's"", 'Martini Asti', 'Kahlua', 'Courvoisier'}",5406 9650 2241 1627,24,27790
Красное&Белое,"(59.9220588,30.3077459)",2024-03-25 22:27:14.537321,"{'Ликер', 'Бренди', 'Джин', 'Эль', 'Вино', 'Ром', 'Водка', 'Пиво', 'Виски'}","{'Baileys', 'Финляндия', 'Bombay Sapphire', 'Chivas Regal', 'Newcastle Brown Ale', 'Инкерман', 'Балтика 7', 'Шато Тамань', 'Captain Morgan', 'Amaretto', 'Pliska', 'Tanqueray', 'Kahlua'}",5489 4057 1979 2075,16,17470
Магнит,"(59.9111729,30.3180574)",2024-06-16 15:30:46.973509,"{'Влажные салфетки', 'Крупы', 'Сладости', 'Бытовая химия', 'Гель для душа', 'Салфетки', 'Шоколад', 'Кондитерские изделия', 'Вино', 'Напитки', 'Хлебобулочные', 'Замороженные овощи', 'Мясо', 'Майонез', 'Овощи', 'Фрукты'}","{'Сады России', 'Добрый', 'Dove', 'Фермерский урожай', 'Коркунов', 'КампоМос', 'Fairy', 'Milka', 'Увелка', 'Селяночка', 'Тульский', 'Kleenex', 'Huggies', 'Hortex', 'Calve', 'Булочный Завод', 'Националь', 'Каберне', 'Агроферма'}",2206 4716 5277 9022,20,2709
Shopideal,"(59.9251825,30.3183112)",2023-08-15 13:36:53.981691,"{'Планшет', 'Наушники', 'Монитор', 'Процессор', 'Колонки', 'Жесткий диск', 'Часы', 'Клавиатура', 'Микрофон', 'Внешний жесткий диск', 'Электронная книга', 'Ноутбук'}","{'Seagate', 'Microsoft', 'HP', 'Intel', 'Rode', 'Barnes & Noble', 'Garmin', 'Lenovo', 'Sony', 'WD', 'Western Digital', 'Samsung', 'JBL'}",4277 7159 5250 5957,13,193800
Ароматный мир,"(59.9176211,30.3455469)",2024-09-05 11:41:24.348587,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Текила', 'Водка', 'Пиво'}","{'Baileys', 'Leffe', 'Carlsberg', 'Финляндия', 'Metaxa', 'Olmeca', 'Budweiser', ""Sheridan's"", ""Gordon's"", 'Kilkenny', 'Арарат', 'Campari', 'Martini Rosso', 'Amstel', ""Graham's"", 'Kahlua', 'Courvoisier'}",5406 2754 4171 9519,18,20790
Градусы,"(59.9214778,30.3534207)",2024-08-01 20:41:35.844435,"{'Вермуты', 'Вино', 'Шампанское', 'Водка', 'Пиво', 'Виски'}","{'Финляндия', 'Абрау-Дюрсо', 'Bosca', ""Jack Daniel's"", 'Noilly Prat', 'Amstel'}",4277 4226 9029 4486,6,5640
Ароматный мир,"(59.9049988,30.3149052)",2024-03-15 20:17:57.639615,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Шампанское', 'Ром', 'Водка', 'Сидр', 'Пиво'}","{'Белуга', 'Amaretto', 'Tanqueray', 'Old Speckled Hen', 'Guinness', 'Балтика 7', 'Carpano', 'Moet & Chandon', 'Кизлярский', 'Torres', 'Stella Artois', ""Cockburn's"", 'Martini Rosso', 'Malibu', 'Magners', ""Fuller's"", 'Heineken', 'Sailor Jerry', 'Captain Morgan', 'Courvoisier'}",4272 6392 2933 7792,24,24990
Норман,"(59.9149389,30.3222524)",2024-01-04 14:19:55.209384,"{'Ликер', 'Джин', 'Вермуты', 'Коньяк', 'Сидр', 'Виски'}","{'Magners', 'Fizzy', 'Bombay Sapphire', ""Gordon's"", 'Арарат', 'Johnnie Walker', 'Kahlua', 'Carpano'}",5406 1298 4337 6997,8,8610
restore:,"(59.9305485,30.3474495)",2023-05-03 19:03:44.356806,"{'Планшет', 'Принтер', 'Игровая консоль', 'Клавиатура', 'Часы', 'Микрофон', 'Флешка', 'Ноутбук', 'Электронная книга', 'Материнская плата', 'Телевизор', 'Видеокарта', 'Сканер'}","{'Blue Yeti', 'Brother', 'AMD', 'Huawei', 'SanDisk', 'Canon', 'SteelSeries', 'ASUS', 'Audio-Technica', 'Sony', 'Acer', 'HP', 'Dell', 'Kindle', 'Gigabyte', 'Barnes & Noble', 'Samsung', 'Fitbit'}",5406 2919 2877 8205,20,366200
Beer Master,"(59.9052604,30.3408966)",2023-04-23 20:57:35.722908,"{'Джин', 'Вермуты', 'Эль', 'Вино', 'Шампанское', 'Ром', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Moet & Chandon', 'Белуга', 'Zacapa', 'Leffe', 'Абсолют', 'Винодельня Фанагория', 'Fizzy', 'Stella Artois', ""Gordon's"", 'Русский Стандарт', 'Johnnie Walker', 'Amstel', 'Havana Club', 'Bass Pale Ale', 'Carpano'}",4277 3584 7701 6182,17,19120
